DrugID,Descriptions
D00001,Polyethylene glycol is a laxative used to treat constipation and used for bowel preparation before colonoscopies and other procedures.
D00003,Activated charcoal is a gastric decontamination agent used in emergency clinical settings as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
D00004,Coumarin is an anticoagulant that inhibits the synthesis of vitamin K-dependent clotting factors.
D00006,"Bupropion is a norepinephrine and dopamine reuptake inhibitor used in the treatment of major depressive disorder (MDD), seasonal affective disorder (SAD), and as an aid to smoking cessation."
D00008,Lindane is an ectoparasiticide and ovicide used in the treatment of Pediculosis humanis capitis (head lice) and Phthirus pubis (crab lice).
D00009,"Ardeparin, marketed under the US trade name Normiflo, is a low molecular weight heparin (LMWH) anticoagulant used for the prevention of postoperative venous thrombosis. Ardeparin is derived via peroxide degradation of heparin extracted from porcine intestinal mucosa."
D00010,Melatonin is an endogenous hormone produced by the pineal gland that regulates sleep-wake cycles and when provided exogenously has beneficial effects on sleep-onset latency; available as an over-the-counter supplement.
D00011,Niacin is a B vitamin used to treat hypertriglyceridemia and pellagra.
D00012,Pyrazinamide is an antituberculosis agent used as a component of tuberculosis (TB) treatment.
D00013,Pyridoxine is a vitamin used to correct vitamin B6 deficiency and to treat nausea during pregnancy.
D00014,"Pleconaril is an antiviral drug from viral capsid inhibitor class, manufactured by Schering-Plough and intended for the prevention of acute asthma exacerbations and common cold symptoms in asthmatic patients who have had exposure to picornavirus."
D00015,Dalfampridine is a potassium channel blocker used for the improvement of motor function in patients with multiple sclerosis (MS).
D00016,Phenytoin is an anticonvulsant drug used in the prophylaxis and control of various types of seizures.
D00017,Tacrine is an anticholinesterase drug used for the management of Alzheimer's disease symptoms.
D00019,"Acetaminophen is an analgesic drug used alone or in combination with opioids for pain management, and as an antipyretic agent."
D00021,A sulfonylurea hypoglycemic agent that is metabolized in the liver to 1-hydrohexamide. Acetohexamide has been discontinued in the US market.
D00022,Acetohydroxamic acid is a synthetic urea derivative used to treat urea splitting bacterial infections of the urinary tract.
D00023,Albendazole is a benzimidazole anthelmintic used to treat parenchymal neurocysticercosis and other helminth infections.
D00024,Alendronic acid is a bisphosphonate drug that prevents osteoclastic bone resorption which is used for the prevention and treatment of osteoporosis.
D00025,Alfuzosin is an alpha-1 adrenergic antagonist used in the symptomatic management of benign prostatic hypertrophy (BPH).
D00026,Alosetron is a 5-HT3 antagonist used to treat diarrhea-predominant IBS.
D00027,Alprazolam is a triazolobenzodiazepine with intermediate onset commonly used to treat panic disorders and generalized anxiety in addition to anxiety associated with depression.
D00028,Altretamine is an antineoplastic agent used in palliative treatment of persistent or recurrent ovarian cancer.
D00030,Ambenonium is a cholinesterase inhibitor that targets both muscarinic and nicotinic receptors indicated for the treatment of myasthenia gravis.
D00032,"Theophylline is a xanthine used to manage the symptoms of asthma, COPD, and other lung conditions caused by reversible airflow obstruction."
D00033,Amiodarone is a class III antiarrhythmic indicated for the treatment of recurrent hemodynamically unstable ventricular tachycardia and recurrent ventricular fibrillation.
D00034,"Amisulpride is a dopamine D2 receptor antagonist used in the treatment of acute and chronic schizophrenia, and in the prevention and treatment of postoperative nausea and vomiting in adults."
D00035,"Amitriptyline is a tricyclic antidepressant indicated in the treatment of depressive illness, either endogenous or psychotic, and to relieve depression associated anxiety."
D00036,Amlodipine is a calcium channel blocker used to treat hypertension and angina.
D00037,"Amobarbital is a barbiturate derivative used for the induction of sedation during procedures, short-term management of insomnia, and acute management of refractory tonic-clonic seizures."
D00038,Amodiaquine is an antimalarial drug.
D00039,Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
D00040,"Anastrozole is a competitive, selective, non-steroidal aromatase inhibitor used as adjuvant therapy for the treatment of hormone receptor-positive breast cancer in postmenopausal women."
D00041,Anethole trithione is a medication used to treat dry mouth associated with medication or radiotherapy of the head and neck.
D00043,"Aspirin is a salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events."
D00044,Astemizole is a second generation antihistamine used to treat allergy symptoms.
D00045,"Atenolol is a synthetic beta-1 selective blocker used in the management of hypertension and chronic angina, and to reduce mortality in known or suspected myocardial infarction in hemodynamically stable patients."
D00046,"Azathioprine is an immunosuppressant used to prevent renal transplant rejection, treat rheumatoid arthritis, Crohn's disease, and ulcerative colitis."
D00047,Azelaic acid is a saturated dicarboxylic acid used to treat mild to moderate acne vulgaris.
D00048,Azelastine is a histamine H1-receptor antagonist used intranasally to treat allergic and vasomotor rhinitis and in an ophthalmic solution to treat allergic conjunctivitis.
D00049,Baclofen is a GABA-ergic agonist used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients.
D00050,Bendroflumethiazide is a diuretic used to suppress lactation and to treat hypertension and edema.
D00052,Benzbromarone is a uricosuric agent which is taken daily for the prevention of gout flares.
D00053,"A long-acting, non selective, calcium channel blocker with significant anti-anginal activity. The drug produces significant coronary vasodilation and modest peripheral effects. It has antihypertensive and selective anti-arrhythmia activities and acts as a calmodulin antagonist."
D00054,Betahistine is an antivertigo agent used for the reduction of episodes of vertigo association with Ménière's disease.
D00055,Betaxolol is a cardioselective beta blocking agent commonly used to treat hypertension and elevated intraocular pressure (when administered ophthalmically).
D00056,Bethanechol is a muscarinic agonist used to treat postoperative and postpartum nonobstructive functional urinary retention and neurogenic atony of the bladder with retention.
D00059,Biperiden is a muscarinic receptor antagonist used to treat parkinsonism and control extrapyramidal side effects of neuroleptic drugs.
D00060,Bisacodyl is a stimulant laxative used for the temporary relief of occasional constipation and cleansing of the colon as a preparation for colonoscopy in adults.
D00062,"Brimonidine is an alpha-2 adrenergic agonist used to treat glaucoma and ocular hypertension, as well as facial erythema in rosacea."
D00063,Bromazepam is a short-acting benzodiazepine with intermediate onset commonly used to treat panic disorders and severe anxiety.
D00064,"Bumetanide is a sulfamyl diuretic used to treat edema in congestive heart failure, hepatic and renal disease, and nephrotic syndrome."
