src,dst
D00572,F00001
D00230,F00001
D01002,F00001
D00065,F00001
D00265,F00001
D00241,F00001
D00370,F00001
D00370,F00001
D01217,F00001
D01334,F00001
D01104,F00001
D00770,F00001
D00770,F00001
D00756,F00001
D00073,F00001
D00265,F00001
D00265,F00001
D00230,F00001
D00230,F00001
D00370,F00001
D00188,F00002
D00199,F00002
D00188,F00003
D00199,F00003
D00043,F00005
D00043,F00005
D00199,F00006
D00188,F00007
D00199,F00007
D00245,F00008
D00070,F00008
D00741,F00008
D01036,F00008
D01057,F00008
D01174,F00008
D01061,F00008
D01002,F00009
D01194,F00009
D00073,F00009
D00108,F00010
D00403,F00010
D00032,F00011
D00016,F00011
D01036,F00011
D01057,F00011
D00240,F00011
D00036,F00011
D00589,F00011
D00257,F00012
D00741,F00012
D01036,F00012
D01057,F00012
D01174,F00012
D01061,F00012
D00774,F00012
D00774,F00012
D00127,F00012
D00127,F00012
D00073,F00012
D00149,F00012
D01217,F00013
D01217,F00013
D01217,F00013
D01217,F00013
D00149,F00013
D00259,F00013
D01217,F00013
D01217,F00014
D01217,F00014
D01217,F00014
D01217,F00014
D00149,F00014
D00259,F00014
D01217,F00014
D00770,F00015
D00864,F00015
D00741,F00015
D01036,F00015
D01057,F00015
D01174,F00015
D01061,F00015
D01217,F00015
D01217,F00015
D00250,F00016
D00188,F00016
D00199,F00016
D00245,F00017
D00770,F00017
D00093,F00018
D00194,F00018
D00754,F00018
D00754,F00018
D00291,F00019
D00687,F00019
D00894,F00019
D00828,F00019
D00043,F00019
D00741,F00019
D01174,F00019
D01061,F00019
D00878,F00019
D00751,F00019
D00511,F00019
D00508,F00019
D00799,F00019
D00611,F00019
D01455,F00019
D00453,F00019
D00968,F00019
D01465,F00019
D01217,F00020
D00019,F00020
D00250,F00020
D00188,F00020
D00199,F00020
D00498,F00020
D00043,F00021
D00878,F00021
D00751,F00021
D00511,F00021
D00508,F00021
D00799,F00021
D00611,F00021
D01455,F00021
D00453,F00021
D00968,F00021
D01465,F00021
D00142,F00021
D01036,F00021
D01057,F00021
D01174,F00021
D00384,F00021
D00984,F00022
D00142,F00022
D00188,F00022
D00200,F00022
D00498,F00022
D00406,F00023
D00498,F00023
D01209,F00024
D01209,F00024
D00267,F00024
D00815,F00024
D00806,F00024
D00619,F00024
D00126,F00024
D00688,F00024
D01210,F00024
D01222,F00024
D00509,F00024
D00152,F00024
D00060,F00024
D00001,F00024
D00487,F00024
D01127,F00024
D01288,F00024
D00764,F00024
D00611,F00024
D01455,F00024
D01458,F00024
D01317,F00024
D01464,F00024
D00471,F00024
D00473,F00024
D00453,F00024
D00968,F00024
D00968,F00024
D00750,F00024
D00251,F00024
D00138,F00024
D00919,F00024
D00093,F00024
D01209,F00024
D00806,F00024
D00531,F00024
D00245,F00026
D00957,F00026
D01511,F00026
D01511,F00026
D00531,F00026
D00531,F00026
D00200,F00026
D01327,F00026
D00756,F00027
D00739,F00027
D00739,F00027
D00752,F00027
D00752,F00027
D01307,F00027
D01398,F00027
D01400,F00027
D01402,F00027
D01405,F00027
D01406,F00027
D00781,F00027
D01212,F00027
D00009,F00027
D00293,F00027
D01219,F00027
D00421,F00027
D01417,F00027
D01214,F00027
D01007,F00027
D01418,F00027
D01420,F00027
D00889,F00027
D00977,F00027
D00153,F00027
D00852,F00027
D00955,F00027
D00713,F00027
D01424,F00027
D01360,F00027
D00771,F00027
D01224,F00027
D01361,F00027
D00459,F00027
D00523,F00027
D00860,F00027
D01362,F00027
D01431,F00027
D01432,F00027
D01363,F00027
D01443,F00027
D01509,F00027
D01449,F00027
D01093,F00027
D01193,F00027
D00253,F00027
D00168,F00027
D00636,F00027
D01453,F00027
D00915,F00027
D01397,F00027
D01111,F00027
D00043,F00027
D01174,F00027
D01419,F00027
D01419,F00027
D01414,F00027
D01359,F00027
D01036,F00027
D01049,F00027
D01029,F00027
D01358,F00027
D00801,F00027
D00995,F00027
D00661,F00027
D01061,F00027
D00546,F00027
D00888,F00027
D00987,F00027
D01035,F00027
D01350,F00027
D00994,F00027
D01057,F00027
D00986,F00027
D01112,F00027
D01394,F00027
D00741,F00027
D01036,F00027
D01057,F00027
D01174,F00027
D01061,F00027
D00200,F00027
D00370,F00027
D00181,F00027
D00561,F00027
D00181,F00027
D00259,F00027
D00259,F00027
D00122,F00027
D00122,F00027
D01511,F00027
D00149,F00027
D00194,F00027
D00829,F00028
D00829,F00028
D01217,F00028
D00741,F00028
D01036,F00028
D01057,F00028
D01174,F00028
D01061,F00028
D01052,F00028
D00257,F00029
D00597,F00029
D00741,F00029
D01036,F00029
D01057,F00029
D01174,F00029
D01061,F00029
D00741,F00029
D01036,F00029
D01057,F00029
D01174,F00029
D01061,F00029
D00741,F00029
D01036,F00029
D01057,F00029
D01174,F00029
D01061,F00029
D00774,F00029
D00774,F00029
D00127,F00029
D00073,F00029
D00149,F00029
D01326,F00030
D00774,F00030
D00116,F00031
D00728,F00031
D00728,F00031
D00572,F00031
D00181,F00031
D00181,F00031
D00036,F00031
D00213,F00031
D00213,F00031
D00561,F00031
D00406,F00032
D00043,F00032
D00878,F00032
D00751,F00032
D00511,F00032
D00508,F00032
