Code,Description
H00001,"Acacia nilotica is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00002,"In botanical studies, Acacia arabica has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00004,"Ferula assa-foetida is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00005,"In botanical studies, Ardisiae japonicae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00006,"Ephedra minuta is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00007,"Folium Artemisiae Argyi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00008,"Phyllanthus emblica is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00009,"Benzoinum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00010,"Eucalyptus globulus is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00011,"The herb Magnolia biloba is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00012,"Croton tiglium L. is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00013,"The herb Radix Morindae officinalis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00015,"In botanical studies, Fructus Anisi Stellati has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00016,"The herb Dysosma versipellis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00017,"Ilex paraguariensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00018,"In botanical studies, Paullinia cupana has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00019,"Galium aparine is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00020,"Semen Lablab Album is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00021,"The herb Acorus calamus is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00022,"Nitraria tangutorum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00023,"The herb Sophora viciifolia is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00024,"Rhizoma Typhonii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00025,"The herb Semen Ginkgo is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00026,"Lithospermum officinale is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00027,"In botanical studies, Bulbus Lilii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00028,"Cleome gynandra L. is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00029,"The herb Plumbago zeylanica is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00030,"Salvia miltiorrhiza f. alba is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00032,"Peucedanum praeruptorum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00033,"Herba Hedyotis Diffusae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00035,"In botanical studies, Patrinia villosa has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00036,"In botanical studies, Herba Patriniae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00038,"Veratrum album is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00039,"Thymus serpyllum is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
