FHDI_Herb_ID,Herb_Latin_Name,,,,,H00014
H00001,Acacia nilotica,,,,,H00031
H00002,Acacia arabica,,,,,H00034
H00004,Ferula assa-foetida,,,,,H00037
H00005,Ardisiae japonicae,,,,,H00041
H00006,Ephedra minuta,,,,,H00045
H00007,Folium Artemisiae Argyi,,,,,H00049
H00008,Phyllanthus emblica,,,,,H00053
H00009,Benzoinum,,,,,H00055
H00010,Eucalyptus globulus,,,,,H00056
H00011,Magnolia biloba,,,,,H00072
H00012,Croton tiglium L.,,,,,H00093
H00013,Radix Morindae officinalis,,,,,H00096
H00014,NA,,,,,H00128
H00015,Fructus Anisi Stellati,,,,,H00141
H00016,Dysosma versipellis,,,,,H00148
H00017,Ilex paraguariensis,,,,,H00157
H00018,Paullinia cupana,,,,,H00179
H00019,Galium aparine,,,,,H00192
H00020,Semen Lablab Album,,,,,H00199
H00021,Acorus calamus,,,,,H00200
H00022,Nitraria tangutorum,,,,,H00209
H00023,Sophora viciifolia,,,,,H00249
H00024,Rhizoma Typhonii,,,,,H00258
H00025,Semen Ginkgo,,,,,H00263
H00026,Lithospermum officinale,,,,,H00270
H00027,Bulbus Lilii,,,,,H00283
H00028,Cleome gynandra L.,,,,,H00291
H00029,Plumbago zeylanica,,,,,H00297
H00030,Salvia miltiorrhiza f. alba,,,,,H00299
H00031,NA,,,,,H00300
H00032,Peucedanum praeruptorum,,,,,H00304
H00033,Herba Hedyotis Diffusae,,,,,H00314
H00034,NA,,,,,H00316
H00035,Patrinia villosa,,,,,H00317
H00036,Herba Patriniae,,,,,H00322
H00037,NA,,,,,H00332
H00038,Veratrum album,,,,,H00368
H00039,Thymus serpyllum,,,,,H00375
H00040,Radix Ampelopsis,,,,,H00379
H00041,NA,,,,,H00380
H00042,Herba Serissae,,,,,H00384
H00043,Imperata cylindrica var. major,,,,,H00387
H00044,Hydrastis canadensis,,,,,H00451
H00045,NA,,,,,H00452
H00046,Herha Ajugae Ciliatae,,,,,H00453
H00047,Prunus mume,,,,,H00472
H00048,Aquilaria sinensis,,,,,H00474
H00049,NA,,,,,H00475
H00050,Thesium chinense,,,,,H00509
H00051,Radix Paeoniae Alba,,,,,H00528
H00052,Radix Pulsatillae,,,,,H00531
H00053,NA,,,,,H00536
H00055,NA,,,,,H00558
H00056,NA,,,,,H00579
H00057,Radix Angelicae Dahuricae,,,,,H00589
H00058,Semen Biotae,,,,,H00611
H00059,Herba Lobeliae Chinensis,,,,,H00640
H00060,Radix Isatidis seu Baphicacanthi,,,,,H00649
H00061,Thalictrum petaloideum,,,,,H00666
H00062,Aloe vera var. chinensis,,,,,H00668
H00063,Rhizoma Pinelliae,,,,,H00697
H00064,Herba Scutellariae barbatae,,,,,H00728
H00065,Ephedra lepidosperma,,,,,H00741
H00066,Rhizoma Menispermi,,,,,H00759
H00067,Cedrus atlantica,,,,,H00762
H00069,Aloe ballyi,,,,,H00774
H00070,Radix Glehniae,,,,,H00839
H00071,Fructus Schiandrae,,,,,H00859
H00072,NA,,,,,H00862
H00073,Chrysanthemum boreale,,,,,H00866
H00074,Piperis Longi Fructus,,,,,H00867
H00075,Myroxylon pereirae,,,,,H00869
H00076,Ricinus communis,,,,,H00875
H00077,Semen Ricini,,,,,H00877
H00078,Hypericum wightianum,,,,,H00934
H00079,Flos Dolichoris,,,,,H00948
H00081,Mangifera persiciformis,,,,,H00980
H00082,Herba Polygoni Avicularis,,,,,H01010
H00083,Angelica keiskei,,,,,H01041
H00084,semen arecae,,,,,H01055
H00085,Borneolum syntheticum,,,,,H01059
H00086,Scutellaria scordifolia,,,,,
H00088,herba Menthae,,,,,
H00089,Peumus boldus,,,,,
H00090,Evodia rutaecarpa var. bodinieri,,,,,
H00091,Psoralea corylifolia,,,,,
H00092,Dionaea muscipula,,,,,
H00093,NA,,,,,
H00094,Fructus Xanthii sibirici,,,,,
H00095,Rhizoma Atractylodis,,,,,
H00096,NA,,,,,
H00097,Fructus tsaoko,,,,,
H00098,Cacumen et Folium Biotae,,,,,
H00099,Camellia sinensis [Syn. Thea sinensis],,,,,
H00100,Ligusticum sinense cv. chaxiong,,,,,
H00101,Camellia sinensis,,,,,
H00102,Camellia sinensis [Syn. Thea sinensis],,,,,
H00103,Radix Bupleuri,,,,,
H00104,Trollius macropetalus,,,,,
H00105,Kadsura peltigera [Syn. Kadsura longipedunculata ],,,,,
H00106,Corydalis longicalcarata,,,,,
H00107,Saussurea superba [Syn. Saussurea hieracioides ],,,,,
H00108,Radix Dichroae,,,,,
H00109,Eurycoma longifolia,,,,,
H00110,Massa fermentata medicinalis Preparata,,,,,
H00111,Angelica gigas,,,,,
H00112,Carlina acaulis,,,,,
H00113,Fructus Aurantii Preparata,,,,,
H00114,Plantago asiatica,,,,,
H00115,Herba Plantaginis,,,,,
H00116,Semen Plantaginis,,,,,
H00117,Dodonaea viscosa,,,,,
H00118,Herba Artemisiae Scopariae,,,,,
H00119,Pericarpium Citri Reticulatae,,,,,
H00120,Lignum Aquilariae Resitum,,,,,
H00121,Eupatorium lindleyanum,,,,,
H00122,Tamarix chinensis,,,,,
H00123,Corydalis remota [Syn. Corydalis bulbosa var. typica ],,,,,
H00124,Gymnema sylvestre,,,,,
H00125,Syzygium buxifolium,,,,,
H00126,Radix Paeoniae Rubra,,,,,
H00127,Semen Phaseoli,,,,,
H00128,NA,,,,,
H00129,Lysimachia paridiformis,,,,,
H00130,Fructus Leonuri,,,,,
H00131,Ruta graveolens,,,,,
H00132,Dysosma veitchii,,,,,
H00133,Bulbus Fritillariae Cirrhosae,,,,,
H00134,Rhizoma Coptidis,,,,,
H00135,Scutellaria hypericifolia,,,,,
H00136,Fructus Meliae Toosendan,,,,,
H00137,Caulis Clematidis Armandii,,,,,
H00138,Vladimiria souliei [Syn. Jurinea souliei],,,,,
H00139,Radix Cyathulae,,,,,
H00140,Radix Cudraniae,,,,,
H00141,NA,,,,,
H00142,Radix chuanxiong,,,,,
H00143,Herba Sedi sarmentosi,,,,,
H00144,Cortex Tooe Sinensis,,,,,
H00145,Juniperus oxycedrus,,,,,
H00146,Glycyrrhiza pallidiflora,,,,,
H00147,Pinus aristata,,,,,
H00148,NA,,,,,
H00149,Rosa roxburghii,,,,,
H00150,Eleutherococcus senticosus,,,,,
H00151,Eleutherococcus senticosus,,,,,
H00153,Hippophae rhamnoides,,,,,
H00154,Glycyrrhiza aspera,,,,,
H00155,Celastrus strigillosus,,,,,
H00156,Ficus simplicissima,,,,,
H00157,NA,,,,,
H00158,Senecio oryzetorum,,,,,
H00159,Plantago major,,,,,
H00160,Tanacetum parthenium,,,,,
H00161,Euphorbia hirta,,,,,
H00162,Coffea liberica,,,,,
H00163,Rhodiola crenulata [Syn. Rhodiola euryphylla],,,,,
H00165,Lagerstroemia speciosa,,,,,
H00166,Semen Sojae Germinatus,,,,,
H00167,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici,,,,,
H00168,Radix euphorbiae pekinensis,,,,,
